82142;10;8;2020
80246;19;9;2014
93671;11;7;2018
78727;29;8;2016
39059;4;2;2019
9987;24;3;2015
83146;7;5;2019
11038;20;8;2019
23542;11;8;2020
58761;1;8;2020
52340;3;7;2014
58023;23;10;2015
93253;10;12;2014
50451;15;12;2017
1152;8;5;2016
26965;24;1;2020
18585;17;3;2017
66066;19;1;2020
33043;30;3;2020
79360;13;3;2021
1990;8;7;2015
66277;24;7;2021
58435;15;11;2019
38232;24;9;2016
49041;8;8;2017
62553;28;9;2020
31467;15;12;2018
96261;7;5;2018
52864;25;9;2014
85867;14;9;2018
9608;1;1;2014
83931;6;3;2014
1578;10;2;2017
90630;7;4;2016
3605;21;3;2019
85572;12;3;2015
36205;24;8;2018
14487;30;9;2018
71332;14;1;2017
16288;20;6;2019
9250;12;10;2018
11853;12;1;2014
56803;13;9;2017
20699;14;2;2021
38657;24;11;2018
13685;12;6;2014
96399;11;3;2014
44416;2;5;2014
49086;28;12;2020
71652;28;7;2014
